target,other,result,fwd_mm,rev_mm
Gracilaria_coronopifolia,Gracilaria chilensis,PARTIAL,1.0,
Gracilaria_coronopifolia,Gracilaria domingensis,CROSS-REACTIVITY,1.0,0.0
Gracilaria_parvispora,Gracilaria tikvahiae,CROSS-REACTIVITY,0.0,1.0
Gracilaria_parvispora,Gracilaria gracilis,PARTIAL,1.0,
Gracilaria_parvispora,Gracilaria textorii,PARTIAL,1.0,
Gracilaria_parvispora,Gracilaria hayi,CROSS-REACTIVITY,1.0,0.0
Gracilaria_parvispora,Gracilaria pacifica,PARTIAL,1.0,
Gracilaria_parvispora,Gracilaria spinulosa,PARTIAL,,1.0
Gracilaria_parvispora,Gracilaria vieillardii,PARTIAL,,1.0
Gracilaria_parvispora,Gracilaria multipartita,CROSS-REACTIVITY,1.0,1.0
Gracilaria_parvispora,Gracilaria occidentalis,PARTIAL,1.0,
Gracilaria_parvispora,Gracilaria ornata,CROSS-REACTIVITY,1.0,1.0
Gracilaria_parvispora,Gracilaria sublittoralis,PARTIAL,0.0,
Gracilaria_parvispora,Gracilaria taiwanensis,CROSS-REACTIVITY,1.0,1.0
Gracilaria_parvispora,Gracilaria truncata,PARTIAL,1.0,
Gracilaria_parvispora,Gracilaria yamamotoi,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria tikvahiae,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria blodgettii,PARTIAL,0.0,
Gracilaria_salicornia,Gracilaria textorii,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria caudata,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria domingensis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria hayi,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria spinulosa,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria vieillardii,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria intermedia,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria multipartita,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria occidentalis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria punctata,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria sublittoralis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria urvillei,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria yamamotoi,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria tikvahiae,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria blodgettii,PARTIAL,0.0,
Gracilaria_salicornia,Gracilaria textorii,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria caudata,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria domingensis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria hayi,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria eucheumatoides,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria spinulosa,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria vieillardii,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria intermedia,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria multipartita,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria occidentalis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria sublittoralis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria urvillei,CROSS-REACTIVITY,1.0,1.0
Gracilaria_salicornia,Gracilaria yamamotoi,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria tikvahiae,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria vermiculophylla,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria chilensis,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria gracilis,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria lemaneiformis,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria blodgettii,CROSS-REACTIVITY,0.0,1.0
Gracilaria_salicornia,Gracilaria textorii,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria caudata,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria domingensis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria hayi,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria spinulosa,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria vieillardii,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria intermedia,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria multipartita,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria occidentalis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria punctata,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria sublittoralis,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria truncata,PARTIAL,,1.0
Gracilaria_salicornia,Gracilaria urvillei,PARTIAL,1.0,
Gracilaria_salicornia,Gracilaria yamamotoi,PARTIAL,1.0,
