species,accession,title,length,organism,taxid,create_date,update_date,gi,extra,subtype,subname
Gracilaria coronopifolia,HQ422578,"Gracilaria coronopifolia voucher ARS01944 28S ribosomal RNA gene, partial sequence",640,,439548,2011/03/27,2021/10/13,326535334,gi|326535334|gb|HQ422578.1|[326535334],,
Gracilaria coronopifolia,HQ422467,"Gracilaria coronopifolia voucher ARS02322 28S ribosomal RNA gene, partial sequence",640,,439548,2011/03/27,2021/10/13,326535223,gi|326535223|gb|HQ422467.1|[326535223],,
Gracilaria coronopifolia,HQ422317,"Gracilaria coronopifolia voucher ARS00184 28S ribosomal RNA gene, partial sequence",600,,439548,2011/03/27,2021/10/13,326535073,gi|326535073|gb|HQ422317.1|[326535073],,
Gracilaria coronopifolia,HQ421829,"Gracilaria coronopifolia voucher ARS02893 28S ribosomal RNA gene, partial sequence",640,,439548,2011/03/27,2021/10/13,326534585,gi|326534585|gb|HQ421829.1|[326534585],,
Gracilaria coronopifolia,KJ775800,"Gracilaria coronopifolia voucher ARS 02322 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1200,,439548,2014/05/07,2014/05/07,629233978,gi|629233978|gb|KJ775800.1|[629233978],,
Gracilaria coronopifolia,KJ775798,"Gracilaria coronopifolia voucher ARS 00184 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1200,,439548,2014/05/07,2014/05/07,629233974,gi|629233974|gb|KJ775798.1|[629233974],,
Gracilaria coronopifolia,HQ423010,"Gracilaria coronopifolia voucher ARS03578 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327244054,gi|327244054|gb|HQ423010.1|[327244054],,
Gracilaria coronopifolia,HQ422886,"Gracilaria coronopifolia voucher ARS00184 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243808,gi|327243808|gb|HQ422886.1|[327243808],,
Gracilaria coronopifolia,HQ422738,"Gracilaria coronopifolia voucher ARS02893 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243514,gi|327243514|gb|HQ422738.1|[327243514],,
Gracilaria coronopifolia,HQ422684,"Gracilaria coronopifolia voucher ARS01944 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243406,gi|327243406|gb|HQ422684.1|[327243406],,
Gracilaria coronopifolia,HQ422645,"Gracilaria coronopifolia voucher ARS02322 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243330,gi|327243330|gb|HQ422645.1|[327243330],,
