position,type
324,triple_diff
576,triple_diff
951,triple_diff
1125,triple_diff
1131,triple_diff
1200,triple_diff
1221,triple_diff
223,Gracilaria_coronopifolia_specific
246,Gracilaria_coronopifolia_specific
267,Gracilaria_coronopifolia_specific
330,Gracilaria_coronopifolia_specific
391,Gracilaria_coronopifolia_specific
420,Gracilaria_coronopifolia_specific
438,Gracilaria_coronopifolia_specific
456,Gracilaria_coronopifolia_specific
477,Gracilaria_coronopifolia_specific
582,Gracilaria_coronopifolia_specific
585,Gracilaria_coronopifolia_specific
678,Gracilaria_coronopifolia_specific
681,Gracilaria_coronopifolia_specific
720,Gracilaria_coronopifolia_specific
735,Gracilaria_coronopifolia_specific
765,Gracilaria_coronopifolia_specific
777,Gracilaria_coronopifolia_specific
783,Gracilaria_coronopifolia_specific
842,Gracilaria_coronopifolia_specific
996,Gracilaria_coronopifolia_specific
1003,Gracilaria_coronopifolia_specific
1005,Gracilaria_coronopifolia_specific
1041,Gracilaria_coronopifolia_specific
1110,Gracilaria_coronopifolia_specific
1143,Gracilaria_coronopifolia_specific
1149,Gracilaria_coronopifolia_specific
1152,Gracilaria_coronopifolia_specific
1176,Gracilaria_coronopifolia_specific
1290,Gracilaria_coronopifolia_specific
1347,Gracilaria_coronopifolia_specific
240,Gracilaria_parvispora_specific
276,Gracilaria_parvispora_specific
300,Gracilaria_parvispora_specific
450,Gracilaria_parvispora_specific
540,Gracilaria_parvispora_specific
558,Gracilaria_parvispora_specific
594,Gracilaria_parvispora_specific
666,Gracilaria_parvispora_specific
683,Gracilaria_parvispora_specific
699,Gracilaria_parvispora_specific
726,Gracilaria_parvispora_specific
819,Gracilaria_parvispora_specific
855,Gracilaria_parvispora_specific
856,Gracilaria_parvispora_specific
963,Gracilaria_parvispora_specific
975,Gracilaria_parvispora_specific
987,Gracilaria_parvispora_specific
1013,Gracilaria_parvispora_specific
1017,Gracilaria_parvispora_specific
1045,Gracilaria_parvispora_specific
1048,Gracilaria_parvispora_specific
1086,Gracilaria_parvispora_specific
1104,Gracilaria_parvispora_specific
1116,Gracilaria_parvispora_specific
1215,Gracilaria_parvispora_specific
1251,Gracilaria_parvispora_specific
1255,Gracilaria_parvispora_specific
1360,Gracilaria_parvispora_specific
1365,Gracilaria_parvispora_specific
189,Gracilaria_salicornia_specific
222,Gracilaria_salicornia_specific
255,Gracilaria_salicornia_specific
261,Gracilaria_salicornia_specific
285,Gracilaria_salicornia_specific
306,Gracilaria_salicornia_specific
357,Gracilaria_salicornia_specific
405,Gracilaria_salicornia_specific
411,Gracilaria_salicornia_specific
414,Gracilaria_salicornia_specific
417,Gracilaria_salicornia_specific
435,Gracilaria_salicornia_specific
468,Gracilaria_salicornia_specific
483,Gracilaria_salicornia_specific
492,Gracilaria_salicornia_specific
543,Gracilaria_salicornia_specific
600,Gracilaria_salicornia_specific
633,Gracilaria_salicornia_specific
645,Gracilaria_salicornia_specific
648,Gracilaria_salicornia_specific
670,Gracilaria_salicornia_specific
705,Gracilaria_salicornia_specific
714,Gracilaria_salicornia_specific
733,Gracilaria_salicornia_specific
781,Gracilaria_salicornia_specific
792,Gracilaria_salicornia_specific
867,Gracilaria_salicornia_specific
900,Gracilaria_salicornia_specific
903,Gracilaria_salicornia_specific
909,Gracilaria_salicornia_specific
918,Gracilaria_salicornia_specific
921,Gracilaria_salicornia_specific
930,Gracilaria_salicornia_specific
933,Gracilaria_salicornia_specific
969,Gracilaria_salicornia_specific
1012,Gracilaria_salicornia_specific
1033,Gracilaria_salicornia_specific
1038,Gracilaria_salicornia_specific
1050,Gracilaria_salicornia_specific
1065,Gracilaria_salicornia_specific
1071,Gracilaria_salicornia_specific
1095,Gracilaria_salicornia_specific
1164,Gracilaria_salicornia_specific
1209,Gracilaria_salicornia_specific
1248,Gracilaria_salicornia_specific
1269,Gracilaria_salicornia_specific
1270,Gracilaria_salicornia_specific
1308,Gracilaria_salicornia_specific
1320,Gracilaria_salicornia_specific
1341,Gracilaria_salicornia_specific
