species,accession,title,length,organism,taxid,create_date,update_date,gi,extra,subtype,subname,locus
Gracilaria coronopifolia,HQ422578,"Gracilaria coronopifolia voucher ARS01944 28S ribosomal RNA gene, partial sequence",640,,439548,2011/03/27,2021/10/13,326535334,gi|326535334|gb|HQ422578.1|[326535334],,,28S/LSU
Gracilaria coronopifolia,HQ422467,"Gracilaria coronopifolia voucher ARS02322 28S ribosomal RNA gene, partial sequence",640,,439548,2011/03/27,2021/10/13,326535223,gi|326535223|gb|HQ422467.1|[326535223],,,28S/LSU
Gracilaria coronopifolia,HQ422317,"Gracilaria coronopifolia voucher ARS00184 28S ribosomal RNA gene, partial sequence",600,,439548,2011/03/27,2021/10/13,326535073,gi|326535073|gb|HQ422317.1|[326535073],,,28S/LSU
Gracilaria coronopifolia,HQ421829,"Gracilaria coronopifolia voucher ARS02893 28S ribosomal RNA gene, partial sequence",640,,439548,2011/03/27,2021/10/13,326534585,gi|326534585|gb|HQ421829.1|[326534585],,,28S/LSU
Gracilaria coronopifolia,KJ775800,"Gracilaria coronopifolia voucher ARS 02322 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1200,,439548,2014/05/07,2014/05/07,629233978,gi|629233978|gb|KJ775800.1|[629233978],,,rbcL
Gracilaria coronopifolia,KJ775798,"Gracilaria coronopifolia voucher ARS 00184 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1200,,439548,2014/05/07,2014/05/07,629233974,gi|629233974|gb|KJ775798.1|[629233974],,,rbcL
Gracilaria coronopifolia,HQ423010,"Gracilaria coronopifolia voucher ARS03578 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327244054,gi|327244054|gb|HQ423010.1|[327244054],,,COI/cox1
Gracilaria coronopifolia,HQ422886,"Gracilaria coronopifolia voucher ARS00184 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243808,gi|327243808|gb|HQ422886.1|[327243808],,,COI/cox1
Gracilaria coronopifolia,HQ422738,"Gracilaria coronopifolia voucher ARS02893 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243514,gi|327243514|gb|HQ422738.1|[327243514],,,COI/cox1
Gracilaria coronopifolia,HQ422684,"Gracilaria coronopifolia voucher ARS01944 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243406,gi|327243406|gb|HQ422684.1|[327243406],,,COI/cox1
Gracilaria coronopifolia,HQ422645,"Gracilaria coronopifolia voucher ARS02322 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",616,,439548,2011/04/04,2011/04/04,327243330,gi|327243330|gb|HQ422645.1|[327243330],,,COI/cox1
Gracilaria coronopifolia,HQ421518,"Gracilaria coronopifolia voucher ARS02322 23S ribosomal RNA gene, partial sequence; plastid",408,,439548,2011/03/28,2011/03/28,326662949,gi|326662949|gb|HQ421518.1|[326662949],,,23S
Gracilaria coronopifolia,HQ421253,"Gracilaria coronopifolia voucher ARS03578 23S ribosomal RNA gene, partial sequence; plastid",409,,439548,2011/03/28,2011/03/28,326662684,gi|326662684|gb|HQ421253.1|[326662684],,,23S
Gracilaria coronopifolia,HQ420985,"Gracilaria coronopifolia voucher ARS02893 23S ribosomal RNA gene, partial sequence; plastid",409,,439548,2011/03/28,2011/03/28,326662417,gi|326662417|gb|HQ420985.1|[326662417],,,23S
Gracilaria coronopifolia,HQ420928,"Gracilaria coronopifolia voucher ARS01459 23S ribosomal RNA gene, partial sequence; plastid",409,,439548,2011/03/28,2011/03/28,326662360,gi|326662360|gb|HQ420928.1|[326662360],,,23S
Gracilaria coronopifolia,EF426614,"Gracilaria coronopifolia isolate 00184 23S ribosomal RNA gene, partial sequence; plastid",410,,439548,2007/06/01,2009/02/02,146161042,gi|146161042|gb|EF426614.1|[146161042],,,23S
Gracilaria parvispora,LC821037,"Gracilaria parvispora MAS-01213 mitochondrial COX1 gene for cytochrome c oxidase subunit 1, partial cds",768,,448387,2025/04/12,2025/04/12,2955316643,gi|2955316643|dbj|LC821037.1|[2955316643],,,COI/cox1
Gracilaria parvispora,LC821279,"Gracilaria parvispora MAS-01213 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial cds",1299,,448387,2025/04/12,2025/04/12,2955316165,gi|2955316165|dbj|LC821279.1|[2955316165],,,rbcL
Gracilaria parvispora,JBHZFV000000000,"Gracilaria parvispora isolate MMT70R6XTX, whole genome shotgun sequencing project",159925,,448387,2024/10/10,2024/10/10,2814875292,gi|2814875292|gb|JBHZFV000000000.1|JBHZFV010000000[2814875292],,,WGS
Gracilaria parvispora,OP669573,"Gracilaria parvispora ZZ4-2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1335,,448387,2023/04/04,2023/04/04,2368056854,gi|2368056854|gb|OP669573.1|[2368056854],,,rbcL
Gracilaria parvispora,OP669572,"Gracilaria parvispora ZZ4-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1335,,448387,2023/04/04,2023/04/04,2368056852,gi|2368056852|gb|OP669572.1|[2368056852],,,rbcL
Gracilaria parvispora,OP669571,"Gracilaria parvispora TWR3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1335,,448387,2023/04/04,2023/04/04,2368056850,gi|2368056850|gb|OP669571.1|[2368056850],,,rbcL
Gracilaria parvispora,OP669570,"Gracilaria parvispora AST82686 B.M. Xia ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",120,,448387,2023/04/04,2023/04/04,2368056848,gi|2368056848|gb|OP669570.1|[2368056848],,,rbcL
Gracilaria parvispora,ON527807,"Gracilaria parvispora isolate SV6 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1134,,448387,2023/02/15,2023/02/15,2442379289,gi|2442379289|gb|ON527807.1|[2442379289],,,COI/cox1
Gracilaria parvispora,ON527806,"Gracilaria parvispora isolate EB12 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1134,,448387,2023/02/15,2023/02/15,2442379287,gi|2442379287|gb|ON527806.1|[2442379287],,,COI/cox1
Gracilaria parvispora,ON527805,"Gracilaria parvispora isolate PA7 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1134,,448387,2023/02/15,2023/02/15,2442379285,gi|2442379285|gb|ON527805.1|[2442379285],,,COI/cox1
Gracilaria parvispora,ON527804,"Gracilaria parvispora isolate EB1 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1134,,448387,2023/02/15,2023/02/15,2442379283,gi|2442379283|gb|ON527804.1|[2442379283],,,COI/cox1
Gracilaria parvispora,ON527803,"Gracilaria parvispora isolate PA6 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1134,,448387,2023/02/15,2023/02/15,2442379281,gi|2442379281|gb|ON527803.1|[2442379281],,,COI/cox1
Gracilaria parvispora,ON527802,"Gracilaria parvispora isolate PA15 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1134,,448387,2023/02/15,2023/02/15,2442379279,gi|2442379279|gb|ON527802.1|[2442379279],,,COI/cox1
Gracilaria parvispora,ON181224,"UNVERIFIED: Gracilaria parvispora isolate SV6 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit-like gene, partial sequence; chloroplast",1146,,448387,2023/01/31,2023/01/31,2431686454,gi|2431686454|gb|ON181224.1|[2431686454],,,rbcL
Gracilaria parvispora,ON181223,"UNVERIFIED: Gracilaria parvispora isolate EB12 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit-like gene, partial sequence; chloroplast",1148,,448387,2023/01/31,2023/01/31,2431686453,gi|2431686453|gb|ON181223.1|[2431686453],,,rbcL
Gracilaria parvispora,ON181222,"UNVERIFIED: Gracilaria parvispora isolate PA7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit-like gene, partial sequence; chloroplast",1148,,448387,2023/01/31,2023/01/31,2431686452,gi|2431686452|gb|ON181222.1|[2431686452],,,rbcL
Gracilaria parvispora,ON181221,"UNVERIFIED: Gracilaria parvispora isolate EB1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit-like gene, partial sequence; chloroplast",1148,,448387,2023/01/31,2023/01/31,2431686451,gi|2431686451|gb|ON181221.1|[2431686451],,,rbcL
Gracilaria parvispora,ON181220,"UNVERIFIED: Gracilaria parvispora isolate PA6 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit-like gene, partial sequence; chloroplast",1148,,448387,2023/01/31,2023/01/31,2431686450,gi|2431686450|gb|ON181220.1|[2431686450],,,rbcL
Gracilaria parvispora,ON181219,"UNVERIFIED: Gracilaria parvispora isolate PA15 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit-like gene, partial sequence; chloroplast",1146,,448387,2023/01/31,2023/01/31,2431686449,gi|2431686449|gb|ON181219.1|[2431686449],,,rbcL
Gracilaria parvispora,HQ422571,"Gracilaria parvispora voucher ARS02757 28S ribosomal RNA gene, partial sequence",641,,448387,2011/03/27,2021/10/13,326535327,gi|326535327|gb|HQ422571.1|[326535327],,,28S/LSU
Gracilaria parvispora,HQ422570,"Gracilaria parvispora voucher ARS02756 28S ribosomal RNA gene, partial sequence",601,,448387,2011/03/27,2021/10/13,326535326,gi|326535326|gb|HQ422570.1|[326535326],,,28S/LSU
Gracilaria parvispora,HQ422431,"Gracilaria parvispora voucher ARS00950 28S ribosomal RNA gene, partial sequence",601,,448387,2011/03/27,2021/10/13,326535187,gi|326535187|gb|HQ422431.1|[326535187],,,28S/LSU
Gracilaria parvispora,HQ422430,"Gracilaria parvispora voucher ARS00949 28S ribosomal RNA gene, partial sequence",601,,448387,2011/03/27,2021/10/13,326535186,gi|326535186|gb|HQ422430.1|[326535186],,,28S/LSU
Gracilaria parvispora,HQ422206,"Gracilaria parvispora voucher ARS03577 28S ribosomal RNA gene, partial sequence",641,,448387,2011/03/27,2021/10/13,326534962,gi|326534962|gb|HQ422206.1|[326534962],,,28S/LSU
Gracilaria parvispora,HQ422134,"Gracilaria parvispora voucher ARS03514 28S ribosomal RNA gene, partial sequence",640,,448387,2011/03/27,2021/10/13,326534890,gi|326534890|gb|HQ422134.1|[326534890],,,28S/LSU
Gracilaria parvispora,KY056221,"Gracilaria parvispora voucher EC01 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",936,,448387,2017/10/10,2017/10/10,1251770651,gi|1251770651|gb|KY056221.1|[1251770651],,,rbcL
Gracilaria parvispora,KY056220,"Gracilaria parvispora voucher EC01 cytochrome oxidase subunit 2 (cox2) gene, partial cds; mitochondrial",178,,448387,2017/10/10,2017/10/10,1251770649,gi|1251770649|gb|KY056220.1|[1251770649],,,mitochondrial
Gracilaria parvispora,KY056219,"Gracilaria parvispora voucher EC01 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial",826,,448387,2017/10/10,2017/10/10,1251770647,gi|1251770647|gb|KY056219.1|[1251770647],,,COI/cox1
Gracilaria parvispora,KC113599,"Gracilaria parvispora isolate 482 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",1439,,448387,2013/02/02,2016/07/26,443909706,gi|443909706|gb|KC113599.1|[443909706],,,rbcL
Gracilaria parvispora,KC113598,"Gracilaria parvispora isolate 774 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",1391,,448387,2013/02/02,2016/07/26,443909704,gi|443909704|gb|KC113598.1|[443909704],,,rbcL
Gracilaria parvispora,KC113597,"Gracilaria parvispora isolate 1054 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",1441,,448387,2013/02/02,2016/07/26,443909702,gi|443909702|gb|KC113597.1|[443909702],,,rbcL
Gracilaria parvispora,KC113596,"Gracilaria parvispora isolate 111 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",627,,448387,2013/02/02,2016/07/26,443909700,gi|443909700|gb|KC113596.1|[443909700],,,rbcL
Gracilaria parvispora,JQ026040,"Gracilaria parvispora voucher GB0601 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",1171,,448387,2014/12/01,2016/07/26,410446149,gi|410446149|gb|JQ026040.1|[410446149],,,rbcL
Gracilaria parvispora,HQ880639,"Gracilaria parvispora voucher NM194 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1390,,448387,2011/07/26,2016/07/25,340796259,gi|340796259|gb|HQ880639.1|[340796259],,,rbcL
Gracilaria parvispora,HQ880638,"Gracilaria parvispora voucher NM119 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1390,,448387,2011/07/26,2016/07/25,340796257,gi|340796257|gb|HQ880638.1|[340796257],,,rbcL
Gracilaria parvispora,HQ880637,"Gracilaria parvispora voucher NM104 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1390,,448387,2011/07/26,2016/07/25,340796255,gi|340796255|gb|HQ880637.1|[340796255],,,rbcL
Gracilaria parvispora,HQ322047,"Gracilaria parvispora voucher GB0601 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958652,gi|339958652|gb|HQ322047.1|[339958652],,,COI/cox1
Gracilaria parvispora,HQ322038,"Gracilaria parvispora voucher JD100404-20 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958634,gi|339958634|gb|HQ322038.1|[339958634],,,COI/cox1
Gracilaria parvispora,HQ322037,"Gracilaria parvispora voucher MI59 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958632,gi|339958632|gb|HQ322037.1|[339958632],,,COI/cox1
Gracilaria parvispora,HQ322036,"Gracilaria parvispora voucher MI60 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958630,gi|339958630|gb|HQ322036.1|[339958630],,,COI/cox1
Gracilaria parvispora,HQ322035,"Gracilaria parvispora voucher MI61 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958628,gi|339958628|gb|HQ322035.1|[339958628],,,COI/cox1
Gracilaria parvispora,HQ322034,"Gracilaria parvispora voucher G074 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958626,gi|339958626|gb|HQ322034.1|[339958626],,,COI/cox1
Gracilaria parvispora,HQ322033,"Gracilaria parvispora voucher G153 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958624,gi|339958624|gb|HQ322033.1|[339958624],,,COI/cox1
Gracilaria parvispora,HQ322032,"Gracilaria parvispora voucher G154 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",661,,448387,2011/07/19,2016/07/25,339958622,gi|339958622|gb|HQ322032.1|[339958622],,,COI/cox1
